,sentimen,before,after
433,positif,"Logistik lancar, arus barang lancar, aman ga ada preman, jalan bagus bikin kendaraan awet. Akhirnya harga murah, dan  penduduk Sumatra yang menang. #BarengJokowi","Logistik lancar, arus barang lancar, aman ga ada preman, jalan bagus bikin kendaraan awet. Akhirnya harga murah, dan penduduk Sumatra yang menang. Bareng Jokowi"
434,positif,"Klo ini terlaksana saya yakin pak Prabowo dgn kebesaran hatinya akan mengatakan sys belum bisa ngaji. Klu satunya barangkali akan meng-iyakan demi sandiwara, Hiks...hiks..hiks  #PilihOrangBaik #PilihJelasIslamnya #PilihBajuPutih","Klo ini terlaksana saya yakin pak Prabowo dgn kebesaran hatinya akan mengatakan sys belum bisa ngaji. Klu satunya barangkali akan meng-iyakan demi sandiwara, Hiks...hiks..hiks Pilih Orang Baik Pilih Jelas Islamnya Pilih Baju Putih"
435,netral,Paguyuban Suami-Suami Gaji Paspasan mengucapkan #TerimaKasihIstriku  karena ga pernah nuntut buat beliin tas Hermes. @jokowi,Paguyuban Suami-Suami Gaji Paspasan mengucapkan Terima Kasih Istriku karena ga pernah nuntut buat beliin tas Hermes. @jokowi
445,netral,"Demi kelangsungan peningkatan perekonomian, kesehatan, pendidikan serta kesejahteraan Sosial di Indonesia. Jokowi terus menerapkan beberapa ide-ide baru dngan harapan banyak faktor di Indonesia yang meningkat seiring dengan berjalannya waktu dimasa pmerintahannya. #PiliOrangbaik","Demi kelangsungan peningkatan perekonomian, kesehatan, pendidikan serta kesejahteraan Sosial di Indonesia. Jokowi terus menerapkan beberapa ide-ide baru dngan harapan banyak faktor di Indonesia yang meningkat seiring dengan berjalannya waktu dimasa pmerintahannya. Pili Orangbaik"
448,netral,@SandiUno @Prabowo @MardaniAliSera @FadliZon Prabowo berujar salah arahnya pembangunan ekonomi Indonesia saat ini juga tak terlepas dari andil presiden sebelum Jokowi. Anjay! #PrabowoSalahkanSBY #KoalisiPrabohong #WowoCapresAbadi,@SandiUno @Prabowo @MardaniAliSera @FadliZon Prabowo berujar salah arahnya pembangunan ekonomi Indonesia saat ini juga tak terlepas dari andil presiden sebelum Jokowi. Anjay! Prabowo Salahkan SBY Koalisi Prabohong Wowo Capres Abadi
449,netral,"Secara khusus, Presiden Jokowi ingin melakukan pembangunan manusia. Sebab, tantangan global menuntut penguatan Sumber Daya Manusia (SDM), sebagai penopang perekonomian. #PiliOrangbaik #PilihJelasIslamnya #PilihBajuPutih","Secara khusus, Presiden Jokowi ingin melakukan pembangunan manusia. Sebab, tantangan global menuntut penguatan Sumber Daya Manusia (SDM), sebagai penopang perekonomian. Pili Orangbaik Pilih Jelas Islamnya Pilih Baju Putih"
451,positif,"Pertumbuhan ekonomi harus diimbangi dengan pemerataan. Selain untuk mencegah ketimpangan, juga demi mewujudkan keadilan bagi seluruh rakyat Indonesia. @jokowi #PilihOrangBaik #PilihYgJelasIslamnya #PilihYgBajuPutih pic.twitter.com/hki07KbqcJ","Pertumbuhan ekonomi harus diimbangi dengan pemerataan. Selain untuk mencegah ketimpangan, juga demi mewujudkan keadilan bagi seluruh rakyat Indonesia. @jokowi Pilih Orang Baik Pilih Yg Jelas Islamnya Pilih Yg Baju Putih pic.twitter.com/hki07KbqcJ"
455,positif,"2004, sy pilih SBY JK,  tapi 10th tdk dihargai @prabowo, Sy mau @AgusYudhoyono jadi CAPRES 2024, sy pilih @jokowi krn kalo @prabowo menang pasti mau 2 periode juga,   #2019TetepJokowi #2024capresAHY demokrat pasti Aman 5 besar pemilu menurut @DennyJA_WORLD","2004, sy pilih SBY JK, tapi 10th tdk dihargai @prabowo, Sy mau @AgusYudhoyono jadi CAPRES 2024, sy pilih @jokowi krn kalo @prabowo menang pasti mau 2 periode juga, 2019Tetep Jokowi 2024capres AHY demokrat pasti Aman 5 besar pemilu menurut @DennyJA_WORLD"
459,netral,". Sebelumnya harga BBM di Papua senilai Rp 100.000/liter, sungguh drastik, di era Jokowi mampu menekan harga premium seharga Rp6.450/liter setara dengan harga BBM di seantero nusantara. #PiliOrangbaik #PilihJelasIslamnya #PilihBajuPutih",". Sebelumnya harga BBM di Papua senilai Rp 100.000/liter, sungguh drastik, di era Jokowi mampu menekan harga premium seharga Rp6.450/liter setara dengan harga BBM di seantero nusantara. Pili Orangbaik Pilih Jelas Islamnya Pilih Baju Putih"
467,positif,"Di saat yg tak berotak memikirkan mobile legend, di satu sisi orang cerdas memikirkan ekonomi kerakyatan  #UASdifitnahKejiDanBrutal","Di saat yg tak berotak memikirkan mobile legend, di satu sisi orang cerdas memikirkan ekonomi kerakyatan UASdifitnah Keji Dan Brutal"
468,negatif,"pokonya ekonomi meroket lah, hidup mobile legend, #2019gantipresiden #kumsi","pokonya ekonomi meroket lah, hidup mobile legend, 2019gantipresiden kumsi"
477,positif,Punya presiden yang sangat menghargai istrinya  #TerimaKasihIstriku @Kiyai_MarufAmin @jokowi @addiems pic.twitter.com/guFtY2Q8Tp,Punya presiden yang sangat menghargai istrinya Terima Kasih Istriku @Kiyai_MarufAmin @jokowi @addiems pic.twitter.com/guFtY2Q8Tp
482,positif,Paguyuban Suami-Suami Gaji Paspasan mengucapkan #TerimaKasihIstriku Yang masih belum jelas keberadaannya  karena ga pernah nuntut buat beliin tas Hermes. @jokowi,Paguyuban Suami-Suami Gaji Paspasan mengucapkan Terima Kasih Istriku Yang masih belum jelas keberadaannya karena ga pernah nuntut buat beliin tas Hermes. @jokowi
488,positif,TGB menilai Jokowi bahwa pada Debat kemarin Jokowi kuasai soal bagaimama membangun ekonomi kreatif.  #01JokowiAmin #JokowiMenangTotalDebat @AlvinoLulu @Barna_byo @katerinaKwari https://bisnis.tempo.co/read/1195571/tgb-nilai-jokowi-menguasai-soal-ekonomi-kreatifÂ â€¦,TGB menilai Jokowi bahwa pada Debat kemarin Jokowi kuasai soal bagaimama membangun ekonomi kreatif. 01Jokowi Amin Jokowi Menang Total Debat @AlvinoLulu @Barna_byo @katerinaKwari https://bisnis.tempo.co/read/1195571/tgb-nilai-jokowi-menguasai-soal-ekonomi-kreatifÂ â€¦
489,positif,"#bukansalahbapak  Ditanya soal Kritik Prabowo, AHY Minta Hargai Pemimpin Pendahulu  http://kom.ps/AFzEo4Â ","bukansalahbapak Ditanya soal Kritik Prabowo, AHY Minta Hargai Pemimpin Pendahulu http://kom.ps/AFzEo4Â"
495,positif,"Senang,gembira lihat lautan manusia kemarin tepatnya tgl 13 April 2019,pintar cinta damai bukan provokator dan tdk muda percaya Hoax  mendukung pak @jokowi   Jgn Golput.PANCASILA&TOLERANSI,NKRI HARGA MATI #KonserPutihBerSATU pic.twitter.com/U18oPok30w","Senang,gembira lihat lautan manusia kemarin tepatnya tgl 13 April 2019,pintar cinta damai bukan provokator dan tdk muda percaya Hoax mendukung pak @jokowi Jgn Golput.PANCASILA&TOLERANSI,NKRI HARGA MATI Konser Putih Ber SATU pic.twitter.com/U18oPok30w"
498,positif,"Kadang bingung juga, mereka2 yg tak bersyukur ada infrastruktur jembatan mempermudah kegiatan perekonomian di timur indonesia  Preaiden kalo cuma mau menang bangun aja di jawa selesai dpt dukung banyak Tapi jokowi menjalan pembangunan keadilan seluruh rakyat #IndonesiaOptimis","Kadang bingung juga, mereka2 yg tak bersyukur ada infrastruktur jembatan mempermudah kegiatan perekonomian di timur indonesia Preaiden kalo cuma mau menang bangun aja di jawa selesai dpt dukung banyak Tapi jokowi menjalan pembangunan keadilan seluruh rakyat Indonesia Optimis"
500,netral,"Namun, sebagai anak seorang ahli ekonomi, fenomena ransel besar Prabowo juga sesuatu yang wajar bagi Yunus. prabowo sandiuno #PrabowoSandi #IndonesiaMenang #IndonesiaAdilMakmur","Namun, sebagai anak seorang ahli ekonomi, fenomena ransel besar Prabowo juga sesuatu yang wajar bagi Yunus. prabowo sandiuno Prabowo Sandi Indonesia Menang Indonesia Adil Makmur"
513,positif,"Best quote of the day: Dengan Mencoblos Prabowo Sandi, Anda Telah Berinfaq Selama 5 Tahun, Karena Gaji Mereka Disumbangkan Pada Kaum Dhuafa & Anak Yatim #prabowosandimenang #UASdifitnahKejiDanBrutal","Best quote of the day: Dengan Mencoblos Prabowo Sandi, Anda Telah Berinfaq Selama 5 Tahun, Karena Gaji Mereka Disumbangkan Pada Kaum Dhuafa & Anak Yatim prabowosandimenang UASdifitnah Keji Dan Brutal"
518,positif,"Wajar pak @jokowi mengucapkan "" #TerimaKasihIstriku "" pada ibu Iriana.  Karena..,  Berkat istri yg tidak pungam/sok-sok'an, beliau bisa fokus memperbaiki ekonomi kita yg sudah ""SALAH ARAH"" berpuluh tahun.  {kata @prabowo loh }  Dan berhasil nyataðŸ‘ðŸ»  pic.twitter.com/ADg1EU27jP","Wajar pak @jokowi mengucapkan "" Terima Kasih Istriku "" pada ibu Iriana. Karena.., Berkat istri yg tidak pungam/sok-sok'an, beliau bisa fokus memperbaiki ekonomi kita yg sudah ""SALAH ARAH"" berpuluh tahun. {kata @prabowo loh } Dan berhasil nyataðŸ‘ðŸ» pic.twitter.com/ADg1EU27jP"
521,negatif,Kata siapa mas?  Sesekalia jalan2 ke karawang sini.. Petani disini menjerit semenjak jokowi harga gabah turun drasti karena banyak impor saat panen raya #savepetanikarawang,Kata siapa mas? Sesekalia jalan2 ke karawang sini.. Petani disini menjerit semenjak jokowi harga gabah turun drasti karena banyak impor saat panen raya savepetanikarawang
527,netral,Nyatanya Pemerintah di Era Jokowi Sangat Mendukung Perkembangan Ekonomi DigitalÂ  #bukansalahbapak #JokowiMenangTotalDebat #TerimaKasihIstriku #PrabowoSalahkanSBY pic.twitter.com/uLJ9uFyhFi,Nyatanya Pemerintah di Era Jokowi Sangat Mendukung Perkembangan Ekonomi DigitalÂ bukansalahbapak Jokowi Menang Total Debat Terima Kasih Istriku Prabowo Salahkan SBY pic.twitter.com/uLJ9uFyhFi
528,negatif,Ketika wanita lain cerewat pada suaminya #TerimaKasihIstriku Yang masih belum tau sekarnag dimana kamu hanya cerewet sama tukang sayur yang harganya naik. @jokowi,Ketika wanita lain cerewat pada suaminya Terima Kasih Istriku Yang masih belum tau sekarnag dimana kamu hanya cerewet sama tukang sayur yang harganya naik. @jokowi
529,positif,"Kalau pak prabowo saya tau dia dari dulu memang tak ambil gaji semasa masih jadi anggota..  Info dari bpk2 purna beda orang beda tempat.. Dgr ttg pak prabowo dari mereka, saya yakin mereka jujur   #TusukPrabowoSandi #TusukPrabowoSandi","Kalau pak prabowo saya tau dia dari dulu memang tak ambil gaji semasa masih jadi anggota.. Info dari bpk2 purna beda orang beda tempat.. Dgr ttg pak prabowo dari mereka, saya yakin mereka jujur Tusuk Prabowo Sandi Tusuk Prabowo Sandi"
533,negatif,"Bicara soal pajak. Soal ingin menaikkan pajak. Semuanya serba pajak. Pajak sekarang belum bayar, sok sokan mau naikin pajak. Sehat prabowo? #JokowiMenangTotalDebat #JokowiPutihkanGBK #Capres02TukangTeror pic.twitter.com/AYyBEPYarP","Bicara soal pajak. Soal ingin menaikkan pajak. Semuanya serba pajak. Pajak sekarang belum bayar, sok sokan mau naikin pajak. Sehat prabowo? Jokowi Menang Total Debat Jokowi Putihkan GBK Capres02Tukang Teror pic.twitter.com/AYyBEPYarP"
534,positif,dia juga ingin merasakan peluh keringat yg jg dirasakan pendukungnya yg sdh berkumpul sejak pagi..itulah penghargaan tertinggi utk rakyat #17AprilCoblosBajuPutih #17AprilCoblosBajuPutih #17AprilCoblosBajuPutih #17AprilCoblosBajuPutih #17AprilCoblosBajuPutih #01IndonesiaMaju,dia juga ingin merasakan peluh keringat yg jg dirasakan pendukungnya yg sdh berkumpul sejak pagi..itulah penghargaan tertinggi utk rakyat 17April Coblos Baju Putih 17April Coblos Baju Putih 17April Coblos Baju Putih 17April Coblos Baju Putih 17April Coblos Baju Putih 01Indonesia Maju
544,netral,"Tak Ambil Gaji Jika Menang Pilpres, Prabowo-Sandi Ikuti Sederet Presiden Terkenal #Prabowo  http://www.rmoljakarta.com/read/2019/04/14/56505/Tak-Ambil-Gaji-Jika-Menang-Pilpres,-Prabowo-Sandi-Ikuti-Sederet-Presiden-Terkenal-Â â€¦","Tak Ambil Gaji Jika Menang Pilpres, Prabowo-Sandi Ikuti Sederet Presiden Terkenal Prabowo http://www.rmoljakarta.com/read/2019/04/14/56505/Tak-Ambil-Gaji-Jika-Menang-Pilpres,-Prabowo-Sandi-Ikuti-Sederet-Presiden-Terkenal-Â â€¦"
551,negatif,Debat terdahulu jebakannya unicorn sekarang mau jebak Prabowo dgn Mobile Legend..Please apa gak ada lg pertanyaan seputar ekonomi kerakyatan..Hobi banget nih orang main jebak jebakan..Jadi gak respect gw #UASdifitnahKejiDanBrutal,Debat terdahulu jebakannya unicorn sekarang mau jebak Prabowo dgn Mobile Legend..Please apa gak ada lg pertanyaan seputar ekonomi kerakyatan..Hobi banget nih orang main jebak jebakan..Jadi gak respect gw UASdifitnah Keji Dan Brutal
569,negatif,"Si Jae dengan PD-nya ngajarin Prabowo-Sandi tentang Ekonomi Makro, bukan kelihatan pintar tapi kelihatan plonga-plongonya. Si Jae-Si Jae laut kok digarami.  Tuman. #TusukPrabowoSandi","Si Jae dengan PD-nya ngajarin Prabowo-Sandi tentang Ekonomi Makro, bukan kelihatan pintar tapi kelihatan plonga-plongonya. Si Jae-Si Jae laut kok digarami. Tuman. Tusuk Prabowo Sandi"
578,positif,jika 17 April Kita Mencoblos @prabowo @sandiuno itu Berarti Kita Telah Beramal Selama 5 Tahun Karena Gaji @prabowo @sandiuno Akan Disumbangkan Kepada Dhuafa dan Yatim .. Inshaa Allah   #UASdifitnahKejiDanBrutal,jika 17 April Kita Mencoblos @prabowo @sandiuno itu Berarti Kita Telah Beramal Selama 5 Tahun Karena Gaji @prabowo @sandiuno Akan Disumbangkan Kepada Dhuafa dan Yatim .. Inshaa Allah UASdifitnah Keji Dan Brutal
581,negatif,krna jokowi presiden skrg ðŸ˜‚ Apapun kerusuhan di negara ini dia yg harus bertanggungjawab. Dia presiden yg dipilih rakyat dgn anggaran pemilu puluhan triliyun. Dia digaji rakyat utk menyelesaikan apapun problem yg menyangkut rakyat #UASdifitnahKejiDanBrutal  shame on you @jokowi,krna jokowi presiden skrg ðŸ˜‚ Apapun kerusuhan di negara ini dia yg harus bertanggungjawab. Dia presiden yg dipilih rakyat dgn anggaran pemilu puluhan triliyun. Dia digaji rakyat utk menyelesaikan apapun problem yg menyangkut rakyat UASdifitnah Keji Dan Brutal shame on you @jokowi
583,netral,"Bila Menang Pilpres 2019, Prabowo Subianto dan Sandi Uno Janji Tidak Ambil Gaji  https://goo.gl/fb/QyojaFÂ  #berita #breaking #peristiwa","Bila Menang Pilpres 2019, Prabowo Subianto dan Sandi Uno Janji Tidak Ambil Gaji https://goo.gl/fb/QyojaFÂ berita breaking peristiwa"
584,netral,"Prabowo Nilai Ekonomi RI Salah Arah, Karena para Presiden Sebelum Jokowi  https://goo.gl/fb/Cu5XJ7Â  #berita #breaking #peristiwa","Prabowo Nilai Ekonomi RI Salah Arah, Karena para Presiden Sebelum Jokowi https://goo.gl/fb/Cu5XJ7Â berita breaking peristiwa"
589,positif,Prabowo - Sandi menyatakan komitmen tuk tidak mengambil GAJI sebagai kepala negara jika nantinya terpilih dalam Pilpres 2019.  #Pemilu2019 #PrabowoSandi #gajisandiuntukfakirmiskin,Prabowo - Sandi menyatakan komitmen tuk tidak mengambil GAJI sebagai kepala negara jika nantinya terpilih dalam Pilpres 2019. Pemilu2019 Prabowo Sandi gajisandiuntukfakirmiskin
591,negatif,"@prabowo bilang 2030 Indonesia akan bubar.  Pertumbuhan ekonomi 5%, 5% ndasmu.... bagaimana pak tanggapannya?  @TheArieAir @Theopieter @fadjroeL #PrabowoSalahkanSBY #bukansalahbapak #TerimaKasihIstriku","@prabowo bilang 2030 Indonesia akan bubar. Pertumbuhan ekonomi 5%, 5% ndasmu.... bagaimana pak tanggapannya? @TheArieAir @Theopieter @fadjroeL Prabowo Salahkan SBY bukansalahbapak Terima Kasih Istriku"
594,positif,"Alhamdulillah, ekonomi kita maju Bersama Jokowi. #kuwera #TerimaKasihIstriku pic.twitter.com/39fLKLxXuV","Alhamdulillah, ekonomi kita maju Bersama Jokowi. kuwera Terima Kasih Istriku pic.twitter.com/39fLKLxXuV"
597,negatif,Kata Wowo kesalahan arah ekonomi yg mengakibatkan terjadinya deindustrialisasi adalah salah semua pihak. Termasuk pada presiden Indonesia sebelum era Jokowi. #PrabowoSalahkanSBY,Kata Wowo kesalahan arah ekonomi yg mengakibatkan terjadinya deindustrialisasi adalah salah semua pihak. Termasuk pada presiden Indonesia sebelum era Jokowi. Prabowo Salahkan SBY
599,positif,"Lah, ekonomi Indonesia masa Pak Jokowi baik-baik aja tuh. Malah ngehoaks dengan menyalahkan Presiden terdahulu. #PrabowoSalahkanSBY","Lah, ekonomi Indonesia masa Pak Jokowi baik-baik aja tuh. Malah ngehoaks dengan menyalahkan Presiden terdahulu. Prabowo Salahkan SBY"
602,positif,Dengan memilih dan coblos NO 2 @Prabowo @sandiuno Maka anda sama dengan Infaq 5th  Karna gajinya prabowosandi di infaqkan kepada kaum dhuafa dan anak yatim di in ah indonesia #JatimMantapPilihPrabowo #JatimMantapPilihPrabowo pic.twitter.com/zPNo3e1eO2,Dengan memilih dan coblos NO 2 @Prabowo @sandiuno Maka anda sama dengan Infaq 5th Karna gajinya prabowosandi di infaqkan kepada kaum dhuafa dan anak yatim di in ah indonesia Jatim Mantap Pilih Prabowo Jatim Mantap Pilih Prabowo pic.twitter.com/zPNo3e1eO2
604,positif,Dengan memilih Prabowo Sandi anda telah bersodaqoh selama 5 tahun. Karena gaji Prabowo dan sandi akan disedekahkan ke fakir miskin..mantapkan! Sebarkan!!  @JackVardan #UASdifitnahKejiDanBrutal,Dengan memilih Prabowo Sandi anda telah bersodaqoh selama 5 tahun. Karena gaji Prabowo dan sandi akan disedekahkan ke fakir miskin..mantapkan! Sebarkan!! @JackVardan UASdifitnah Keji Dan Brutal
606,negatif,"Berharap tiap bulan bulan ada pemilu,terus Jokowi nyalon terus. Lumayan kan bawa 200-300 orang dapetnya 2x gaji UMR Jakarta wkwk #UASdifitnahKejiDanBrutal #bukansalahbapak","Berharap tiap bulan bulan ada pemilu,terus Jokowi nyalon terus. Lumayan kan bawa 200-300 orang dapetnya 2x gaji UMR Jakarta wkwk UASdifitnah Keji Dan Brutal bukansalahbapak"
607,negatif,"Kalo jalan bagus kmna mana kan gampang, ekonomi juga smakin membaik kan , #mikir bilang infrastuktur gak ada guna nya giliran jalanan pada jelek aja komen ðŸ¤£","Kalo jalan bagus kmna mana kan gampang, ekonomi juga smakin membaik kan , mikir bilang infrastuktur gak ada guna nya giliran jalanan pada jelek aja komen ðŸ¤£"
608,netral,Fadli Zon: Prabowo Hanya Ingatkan Ekonomi Indonesia Harus Berpijak ke Pasal 33 UUD 45 #indonesia #merahputih #sunday #minggusyantai https://merahputih.com/post/read/fadli-zon-prabowo-hanya-ingatkan-ekonomi-indonesia-harus-berpijak-ke-pasal-33-uud-45Â â€¦,Fadli Zon: Prabowo Hanya Ingatkan Ekonomi Indonesia Harus Berpijak ke Pasal 33 UUD 45 indonesia merahputih sunday minggusyantai https://merahputih.com/post/read/fadli-zon-prabowo-hanya-ingatkan-ekonomi-indonesia-harus-berpijak-ke-pasal-33-uud-45Â â€¦
609,positif,"Komentarnya bagus. Tapi alangkah indshnya jika ibu bilang, Jokowi lawan sang penantang. Gosipan warung juga aspirasi masyarakat, indahnya saling menghargai #nasehatbukanpakar https://twitter.com/GoDisko/status/1117106344991936512Â â€¦","Komentarnya bagus. Tapi alangkah indshnya jika ibu bilang, Jokowi lawan sang penantang. Gosipan warung juga aspirasi masyarakat, indahnya saling menghargai nasehatbukanpakar https://twitter.com/GoDisko/status/1117106344991936512Â â€¦"
616,netral,"@Jokowi dalam kampanye akbar di GBK bahwa Pancasila, NKRI, Bhinneka Tunggal Ika dan UUD 1945 sudah final dan harga mati sehingg tidak bisa diganggu gugat. #PancasilaHargaMati #LestarikanPancasila pic.twitter.com/CQRL3ccYI9","@Jokowi dalam kampanye akbar di GBK bahwa Pancasila, NKRI, Bhinneka Tunggal Ika dan UUD 1945 sudah final dan harga mati sehingg tidak bisa diganggu gugat. Pancasila Harga Mati Lestarikan Pancasila pic.twitter.com/CQRL3ccYI9"
617,positif,Saya kadang pengin nyumbang kaum dhuafa tp anggaran tiap bln sllu mepet. Jadi saya pilih Prabowo Sandi yang akan mensedekahkan gajinya utk kaum dhuafa  #PrabowoSandiMenangDebat,Saya kadang pengin nyumbang kaum dhuafa tp anggaran tiap bln sllu mepet. Jadi saya pilih Prabowo Sandi yang akan mensedekahkan gajinya utk kaum dhuafa Prabowo Sandi Menang Debat
620,positif,Prabowo-Sandi Tak Akan Ambil Gaji Sepeser Pun Jika Terpilih  Dua orang yang sudah usai dengan dunianya... Tinggal fokus pada panggilan Ibu Pertiwi sbg sikap patriotik dan nasionalis.  Keren... Inilah salah satu alasan gw #GuePilihPrabowoSandi #UASdifitnahKejiDanBrutal,Prabowo-Sandi Tak Akan Ambil Gaji Sepeser Pun Jika Terpilih Dua orang yang sudah usai dengan dunianya... Tinggal fokus pada panggilan Ibu Pertiwi sbg sikap patriotik dan nasionalis. Keren... Inilah salah satu alasan gw Gue Pilih Prabowo Sandi UASdifitnah Keji Dan Brutal
